date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:04:59	108738/108738	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Aug%202017%2004:38:56%20GMT	http://radixtouch.in/hospital/js/bootstrap/fonts/glyphicons-halflings-regular.svg	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://radixtouch.in/hospital/js/bootstrap/css/bootstrap.min.css)
21:05:00	45404/45404	---MCZ	200	added ('OK')	application/x-font-ttf	date:Fri,%2011%20Aug%202017%2004:38:52%20GMT	http://radixtouch.in/hospital/js/bootstrap/fonts/glyphicons-halflings-regular.ttf	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from http://radixtouch.in/hospital/js/bootstrap/css/bootstrap.min.css)
21:05:00	4878/4878	URF---	200	added ('OK%20(cached)')	image/jpeg		http://radixtouch.in/hospital/img/mega-img3.jpg	/home/gaurav/websites/Hospital/radixtouch.in/hospital/img/mega-img3.jpg	(from http://radixtouch.in/hospital/user_profile.html)
21:05:00	7739/7739	URF---	200	added ('OK%20(cached)')	image/jpeg		http://radixtouch.in/hospital/img/mega-img2.jpg	/home/gaurav/websites/Hospital/radixtouch.in/hospital/img/mega-img2.jpg	(from http://radixtouch.in/hospital/user_profile.html)
21:05:01	162/162	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Aug%202017%2004:38:54%20GMT	http://radixtouch.in/hospital/img/accordion-plusminus.png	/home/gaurav/websites/Hospital/radixtouch.in/hospital/img/accordion-plusminus.png	(from http://radixtouch.in/hospital/css/theme_style.css)
21:05:01	314202/314202	UR-MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:56%20GMT	http://radixtouch.in/hospital/js/chart-js/Chart.bundle.js	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/chart-js/Chart.bundle.js	(from http://radixtouch.in/hospital/)
21:05:01	273/273	UR-MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:58%20GMT	http://radixtouch.in/hospital/js/pages.js	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/pages.js	(from http://radixtouch.in/hospital/lock_screen.html)
21:05:01	1595/1595	UR-MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:52%20GMT	http://radixtouch.in/hospital/js/profile.js	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/profile.js	(from http://radixtouch.in/hospital/user_profile.html)
21:05:01	43247/43247	UR-MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:52%20GMT	http://radixtouch.in/hospital/js/jquery.sparkline.min.js	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/jquery.sparkline.min.js	(from http://radixtouch.in/hospital/user_profile.html)
21:05:02	680/680	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2002%20Sep%202017%2015:35:00%20GMT	http://radixtouch.in/hospital/img/datatable-row-openclose.png	/home/gaurav/websites/Hospital/radixtouch.in/hospital/img/datatable-row-openclose.png	(from http://radixtouch.in/hospital/css/plugins.min.css)
